"영문명","한글명","국가명_영문","국가명_한글","지역","주_영문","주_한글","도시명_영문","도시명_한글","홈페이지"
"Incheon International Airport","인천 국제공항","Republic of Korea","대한민국","아시아태평양","","","Seoul / Incheon","서울 / 인천","www.airport.kr"
"Gimpo International Airport","김포 국제공항","Republic of Korea","대한민국","아시아,태평양","","","Seoul","서울","www.airport.co.kr/mbs/gimpo/"
"Gimhae International Airport","김해 국제공항","Republic of Korea","대한민국","아시아,태평양","","","Busan","부산","www.airport.co.kr/mbs/gimhae/"
"Jeju International Airport","제주 국제공항","Republic of Korea","대한민국","아시아,태평양","","","Jeju","제주","www.airport.co.kr/mbs/jeju/"
"Daegu International Airport","대구 국제공항","Republic of Korea","대한민국","아시아,태평양","","","Daegu","대구","www.airport.co.kr/mbs/daegu/"
"Cheongju International Airport","청주 국제공항","Republic of Korea","대한민국","아시아,태평양","","","Cheongju","청주","www.airport.co.kr/mbs/cheongju/"
"Gwangju International Airport","광주 국제공항","Republic of Korea","대한민국","아시아,태평양","","","Gwangju","광주","www.airport.co.kr/mbs/gwangju/"
"Yangyang International Airport","양양 국제공항","Republic of Korea","대한민국","아시아,태평양","","","Yangyang / Wonju","양양 / 원주","www.airport.co.kr/mbs/yangyang/"
"Ulsan Airport","울산 공항","Republic of Korea","대한민국","아시아,태평양","","","Ulsan","울산","www.airport.co.kr/mbs/ulsan/"
"Sacheon Airport","사천 공항","Republic of Korea","대한민국","아시아,태평양","","","","","www.airport.co.kr/mbs/sacheon/"
"Pohang Airport","포항 공항","Republic of Korea","대한민국","아시아,태평양","","","Pohang","포항","www.airport.co.kr/mbs/pohang/"
"Gunsan Airport","군산 공항","Republic of Korea","대한민국","아시아태평양","","","Gunsan","군산","www.airport.co.kr/doc/gunsan/index.jsp"
"Yeosu Airport","여수 공항","Republic of Korea","대한민국","아시아,태평양","","","Yeosu","여수","www.airport.co.kr/mbs/yeosu/"
"Mokpo Airport","목포 공항","Republic of Korea","대한민국","아시아태평양","","","Mokpo","목포",""
"Wonju Airport","원주 공항","Republic of Korea","대한민국","아시아,태평양","","","","","www.airport.co.kr/mbs/wonju/"
"Adelaide International Airport","애들레이드 국제공항","Australia","오스트레일리아","대양주","South Australia","사우스오스트레일리아","Adelaide","애들레이드","www.aal.com.au"
"Brisbane International Airport","브리즈번 국제공항","Australia","오스트레일리아","대양주","Queensland","퀸즐랜드","Brisbane","브리즈번","www.bne.com.au"
"Cairns International Airport","케언스 국제공항","Australia","오스트레일리아","대양주","Queensland","퀸즐랜드","Cairns","케언스","www.cairnsport.com.au"
"Cocos (Keeling) Island International Airport","코코스 킬링 아일랜드 국제공항","Australia","오스트레일리아","대양주","","","Cocos (Keeling) Island( Keeling Islands )","코코스킬링제도",""
